r_id,hour,gen
1,2424,21.4
2,2424,42.0
3,2424,607.1
4,2424,22.781948000000057
5,2424,49.4
6,2424,570.0
7,2424,149.856
8,2424,149.856
9,2424,0.0
10,2424,0.0
11,2424,0.0
12,2424,0.0
13,2424,0.0
20,2424,0.0
21,2424,0.0
22,2424,0.0
23,2424,0.0
24,2424,0.0
25,2424,0.0
26,2424,0.0
27,2424,0.0
28,2424,0.0
29,2424,0.0
30,2424,0.0
31,2424,144.42111999999997
32,2424,3.184932
33,2424,0.0
34,2424,0.0
35,2424,0.0
36,2424,0.0
37,2424,0.0
38,2424,0.0
39,2424,0.0
40,2424,0.0
41,2424,0.0
42,2424,0.0
1,2425,21.4
2,2425,42.000000000000014
3,2425,580.713628
4,2425,16.5
5,2425,24.7
6,2425,570.0
7,2425,149.856
8,2425,149.856
9,2425,0.0
10,2425,0.0
11,2425,0.0
12,2425,0.0
13,2425,0.0
20,2425,0.0
21,2425,0.0
22,2425,0.0
23,2425,0.0
24,2425,0.0
25,2425,0.0
26,2425,0.0
27,2425,0.0
28,2425,0.0
29,2425,0.0
30,2425,0.0
31,2425,97.78944
32,2425,3.184932
33,2425,0.0
34,2425,0.0
35,2425,0.0
36,2425,0.0
37,2425,0.0
38,2425,0.0
39,2425,0.0
40,2425,0.0
41,2425,0.0
42,2425,0.0
1,2426,21.4
2,2426,42.0
3,2426,482.316188
4,2426,16.5
5,2426,24.7
6,2426,570.0
7,2426,149.856
8,2426,149.856
9,2426,0.0
10,2426,0.0
11,2426,0.0
12,2426,0.0
13,2426,0.0
20,2426,0.0
21,2426,0.0
22,2426,0.0
23,2426,0.0
24,2426,0.0
25,2426,0.0
26,2426,0.0
27,2426,0.0
28,2426,0.0
29,2426,0.0
30,2426,0.0
31,2426,104.18688
32,2426,3.184932
33,2426,0.0
34,2426,0.0
35,2426,0.0
36,2426,0.0
37,2426,0.0
38,2426,0.0
39,2426,0.0
40,2426,0.0
41,2426,0.0
42,2426,0.0
1,2427,21.4
2,2427,42.0
3,2427,410.96674800000005
4,2427,16.5
5,2427,24.7
6,2427,570.0
7,2427,149.856
8,2427,149.856
9,2427,0.0
10,2427,0.0
11,2427,0.0
12,2427,0.0
13,2427,0.0
20,2427,0.0
21,2427,0.0
22,2427,0.0
23,2427,0.0
24,2427,0.0
25,2427,0.0
26,2427,0.0
27,2427,0.0
28,2427,0.0
29,2427,0.0
30,2427,0.0
31,2427,128.53632
32,2427,3.184932
33,2427,0.0
34,2427,0.0
35,2427,0.0
36,2427,0.0
37,2427,0.0
38,2427,0.0
39,2427,0.0
40,2427,0.0
41,2427,0.0
42,2427,0.0
1,2428,21.4
2,2428,42.0
3,2428,434.8681879999999
4,2428,16.5
5,2428,24.7
6,2428,570.0
7,2428,149.856
8,2428,149.856
9,2428,0.0
10,2428,0.0
11,2428,0.0
12,2428,0.0
13,2428,0.0
20,2428,0.0
21,2428,0.0
22,2428,0.0
23,2428,0.0
24,2428,0.0
25,2428,0.0
26,2428,0.0
27,2428,0.0
28,2428,0.0
29,2428,0.0
30,2428,0.0
31,2428,140.63487999999998
32,2428,3.184932
33,2428,0.0
34,2428,0.0
35,2428,0.0
36,2428,0.0
37,2428,0.0
38,2428,0.0
39,2428,0.0
40,2428,0.0
41,2428,0.0
42,2428,0.0
1,2429,21.4
2,2429,42.0
3,2429,571.138588
4,2429,16.5
5,2429,24.7
6,2429,570.0
7,2429,149.856
8,2429,149.856
9,2429,0.0
10,2429,0.0
11,2429,0.0
12,2429,0.0
13,2429,0.0
20,2429,0.0
21,2429,0.0
22,2429,0.0
23,2429,0.0
24,2429,0.0
25,2429,0.0
26,2429,0.0
27,2429,0.0
28,2429,0.0
29,2429,0.0
30,2429,0.0
31,2429,153.36448
32,2429,3.184932
33,2429,0.0
34,2429,0.0
35,2429,0.0
36,2429,0.0
37,2429,0.0
38,2429,0.0
39,2429,0.0
40,2429,0.0
41,2429,0.0
42,2429,0.0
1,2430,21.4
2,2430,42.0
3,2430,607.1
4,2430,30.0
5,2430,49.4
6,2430,570.0
7,2430,336.0
8,2430,191.1925080000001
9,2430,0.0
10,2430,0.0
11,2430,0.0
