fips,State,County,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1018,PctEmpChange1718,PctEmpChange0718,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,UnempRate2011,UnempRate2008,UnempRate2009,UnempRate2012,UnempRate2013,PopChangeRate1718,PopChangeRate1018,TotalPopEst2018,NetMigrationRate1018,NaturalChangeRate1018,Net_International_Migration_Rat,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct201,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate00,NonHispanicBlackPopChangeRate00,NonHispanicAsianPopChangeRate00,NonHispanicNativeAmericanPopCha,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,TotalPop25Plus,ForeignBornAfricaPct,TotalPopACS,TotalOccHU,ForeignBornAsiaPct,TotalHH,ForeignBornCentralSouthAmPct,ForeignBornCaribPct,TotalPop2010,LandAreaSQMiles2010,Net_International_Migration_200,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,TotalPopEst2011,Net_International_Migration_201,NaturalChange1018,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,NetMigration1018,TotalPopEstBase2010,Metro2013,Metro2003
0,"US","United States",60336,31177,18.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.300426201,0.57071432,6.350992052,10.27720771,14.08365511,5.100678347,2.107116597,6.579266226,48.96466524,4.665278191,NA,NA,NA,NA,NA,0.72,5.3,NA,2.28,3.02,2.28,9.71,NA,NA,NA,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,13.40400694,1.493630273,3.586719605,4.464884392,12.68641302,27.323791,20.77749684,8.284711148,30.92758799,2.63,12.70110164,10.52845279,63.81868061,216271644,0.634725554,321004407,118825921,4.085250456,118825921,5.557107819,1.299268767,308745538,3531905.43,NA,313993272,316234505,309338421,318622525,311644280,7042455,9338302,321039839,323405935,325719178,7042455,308758105,NA,NA
1000,"AL","Alabama",48193,25746,24.4,16.9,3.9,4.4,5.8,6,6.8,10.5,4,7.52,1.47,1.11,-5.96,1.111987347,0.459934741,6.41310741,14.18704564,14.49621481,5.209561233,1.619647494,5.602505268,45.38948747,5.510508589,9.6,5.7,11,8,7.2,0.26,2.14,4887871,0.84,1.3,0.77,7.48,3.3,3.3,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.2,70.83,19.84,144.76,61.28,3.461841427,0.375259933,1.078220349,1.149407953,14.68148593,30.90214143,21.73582243,8.156075879,24.52447433,2.55,14.77684811,11.20841064,68.57437544,3276637,0.16997298,4850771,1856695,1.091207975,1856695,1.596715244,0.137792528,4779736,50645.33,54447,4815564,4830460,4785448,4842481,4798834,36623,62441,4853160,4864745,4875120,39982,4780138,NA,NA
1001,"AL","Autauga",58343,27824,19.3,13.4,3.6,3.9,5.1,5,5.8,8.9,3.3,6.76,0.23,6.1,-0.62,0.605507631,0.315195753,5.134372926,13.32116788,12.88155275,7.436131387,1.671366954,5.573988056,41.90859323,11.15212342,8.4,5.1,9.7,6.9,6.2,0.28,1.55,55601,0.28,1.26,0.06,24.96,11.87,5.46,-0.010222394,91.8,26.78,12,77.25,17.58,0.86,0.4,2.4,1.59,21.05,29.17,140.72,16.67,114.75,114.57,2.113162294,0.337960608,0.506940911,0.750451221,12.29969802,33.63440977,21.47346084,7.628478929,24.96395244,2.59,11.40875843,11.38026028,73.2877363,36757,0,55036,21054,0.848535504,21054,0.654117305,0.158078349,54571,594.44,-4.5,54936,54713,54754,54876,55208,32,692,54838,55242,55443,155,54574,1,1
1003,"AL","Baldwin",56607,29364,14.7,10.1,3.6,4.1,5.3,5,6.1,10,3.1,20.42,2.39,12.93,-6.22,1.028739933,0.478068069,7.608877769,9.803746356,16.49893328,4.835412781,1.37612117,7.611111732,45.92022518,4.838763725,9,4.6,9.8,7.5,6.6,2.54,19.07,218022,18.14,0.93,0.74,29.8,26.17,3.32,1.584454727,114.65,22.99,16.77,83.5,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,3.248426436,0.741542093,0.716463415,0.901054733,9.786606256,27.80761002,22.04276265,9.620897484,30.74212359,2.63,9.426923936,12.84594066,72.85933826,143022,0.071302124,203360,76133,0.594512195,76133,1.26622738,0.440597954,182265,1589.78,2239.5,190143,194886,183111,199189,186540,1364,1697,202995,207712,212619,33214,182264,1,0
1005,"AL","Barbour",32490,17561,50.3,33.4,5.2,5.8,8.3,8,10.5,12.3,6.3,-11.37,1.39,-18.01,-7.49,4.223924307,0.168956972,5.631899076,23.7553503,14.66546519,6.240144177,0.394232935,3.671998198,33.31831494,7.9297139,11.5,8.8,14.3,11.5,10.2,-1.1,-8.96,24881,-8.27,-0.69,0.14,-5.44,-4.8,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.7,2.660203809,0.316781802,1.312926988,0.816015668,26.90680265,35.52674406,18.19464034,7.339698383,12.03211457,2.54,19.36677184,13.85050593,62.50680013,18434,0,26201,9191,0.423647952,9191,1.862524331,0.030533186,27457,884.88,530.5,27174,26944,27330,26758,27350,38,-188,26294,25819,25158,-2261,27457,0,0
1007,"AL","Bibb",45795,20911,27.3,20.2,4,4.4,6.4,6,7.2,11.4,4.1,5.09,1.75,-1.36,-6.14,0.41610574,3.953004528,9.16656468,20.5482805,10.54950434,5.947864398,1.076979562,4.40582548,38.93036348,5.005507282,10.5,5.8,13.3,8.5,7.9,-0.69,-2.06,22400,-2.25,0.19,0.49,10.03,6.43,2.1,0.341485462,36.81,22.7,12.68,75.02,21.92,0.1,0.28,1.77,0.89,8.32,9.6,29.41,39.13,93.33,89.72,1.023029229,0.035429584,0.159433127,0.563909774,17.86367362,43.87414087,19.79948294,5.239926855,13.22277571,2.97,14.87854251,10.56969346,75.36148062,15859,0,22580,6916,0,6916,0.952170062,0.035429584,22915,622.58,68,22664,22516,22872,22541,22747,111,43,22562,22576,22555,-515,22920,1,1
1009,"AL","Blount",48253,22021,18.5,12.8,3.5,4,5.4,5,6.1,9.8,3.2,7.43,1.69,-6.41,-12.88,1.623012161,0.724976614,10.28531338,14.81290926,15.52853134,7.324602432,1.169317119,5.102899906,38.2647334,5.163704397,8.7,4.7,10,6.9,6.3,0.02,0.81,57840,-0.04,0.86,0.27,12.34,12.27,3.14,2.07701489,88.9,24.61,14.72,88.89,1.26,0.2,0.5,8.07,1.19,8.41,21.07,64.29,34.43,70.2,31.79,4.545060433,0.270518668,3.560095028,1.536974384,20.21532616,32.27359088,21.86447118,12.54464851,13.10196327,2.76,9.777670372,10.28999517,78.52102465,39475,0.100577453,57667,20690,0.228900411,20690,3.766452217,0.138727522,57322,644.78,1061.5,57570,57611,57373,57521,57554,156,491,57522,57517,57827,-24,57321,1,1
1011,"AL","Bullock",29113,20856,48.3,34.4,4.7,4.9,6.8,7,8.8,11.8,9.4,4.5,-0.94,37.61,31.68,12.26107226,0,4.638694639,30.51282051,9.370629371,3.37995338,0.536130536,2.237762238,31.79487179,5.268065268,11.6,10.5,15.6,10.4,9.4,-0.37,-6.8,10138,-7.46,0.65,0.38,-6.83,-9.13,3.2,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10,-4.76,-45.95,141.3,4.88,1.832410765,0.171788509,0,2.207084469,28.64307984,36.58668836,17.03944693,4.310695405,13.42008947,2.74,27.19346049,12.45231608,70.02724796,7377,0.629891201,10478,3670,0.353120825,3670,0.21950754,0.458102691,10914,622.8,424,10607,10551,10878,10665,10677,41,71,10400,10381,10176,-811,10911,0,0
1013,"AL","Butler",36842,19004,33,21.3,4.8,5.5,6.9,7,8.6,13.6,6.2,6.11,0.49,-0.61,-6.34,3.44247444,0.271774298,8.32147017,22.06548466,11.66041154,4.607221431,1.164746991,2.795392779,39.95082179,5.720201889,12.5,8.5,16.4,11.5,10.3,-1.1,-6.03,19680,-5.17,-0.86,0.6,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,1.048395111,0.044718275,0.064593064,0.723404255,18.94970626,40.38544204,16.64994985,7.873620863,16.14128099,2.81,17.29078014,12.42553191,70.07092199,13958,0,20126,7050,0.939083772,7050,0.064593064,0,20947,776.83,44,20687,20374,20942,20343,20878,125,-180,20176,20029,19898,-1082,20943,0,0
1015,"AL","Calhoun",45937,23638,24.2,17.7,4.7,5,6.5,7,8,11.4,3.9,-4.08,0.77,-16.84,-13.3,0.93264686,0.135043889,6.197248481,16.91846725,14.63749156,4.696995273,1.742910196,4.196910871,42.92496624,7.617319379,10.3,5.7,11.1,8.9,8.8,-0.34,-3.54,114277,-3.03,-0.52,0.39,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.7,0.4,3.28,1.67,-0.36,16.66,32.8,12.41,122.08,82.7,2.614973123,0.470019995,0.876851299,0.827069336,16.78252612,32.21272555,25.75245331,7.382082938,17.87021209,2.49,16.72764363,11.21310894,69.39178252,78975,0.098678231,115527,45099,0.790291447,45099,1.117487687,0.068382283,118572,605.87,794,117257,116541,118477,115995,117797,460,-612,115536,115018,114664,-3588,118594,1,1
