enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
195,10.8999996185,0.510200023651,2.0408000946,67,690.799987793,0.343589752913,6384.9111328125,17.8899097443,22.6900005341,0,691.5999755859,690
240,11.1499996185,15.4167003632,47.9166984558,101,661.200012207,0.420833319426,5099.380859375,21.5246639252,9.8240003586,4.58333349228,660.5,661.9000244141
1550,82.9000015259,55.0322990417,76.3226013184,169,643.5999755859,0.109032258391,5501.9545898438,18.6972255707,8.9779996872,30.0000019073,636.299987793,650.9000244141
243,14,36.4753990173,77.0492019653,85,647.700012207,0.349794238806,7101.8310546875,17.3571434021,8.9779996872,0,651.9000244141,643.5
1335,71.5,33.1086006165,78.4270019531,171,640.8499755859,0.128089889884,5235.9877929688,18.6713294983,9.080332756,13.8576774597,641.799987793,639.9000244141
137,6.4000000954,12.3187999725,86.9564971924,25,605.5500488281,0.182481750846,5580.1469726562,21.40625,10.4149999619,12.4087591171,605.700012207,605.4000244141
195,10,12.9032001495,94.6237030029,28,606.75,0.143589749932,5253.3310546875,19.5,6.5770001411,68.7179489136,604.5,609
888,42.5,18.8062992096,100,66,609,0.0743243247271,4565.74609375,20.8941173553,8.1739997864,46.9594612122,605.5,612.5
379,19,32.1899986267,93.1398010254,35,612.5,0.0923482850194,5355.5483398438,19.9473686218,7.3850002289,30.0791568756,608.9000244141,616.0999755859
2247,108,78.9942016602,87.3163986206,0,612.6500244141,0,5036.2114257812,20.8055553436,11.6133327484,40.2759208679,611.9000244141,613.4000244141
446,21,18.6098995209,85.8743972778,86,615.75,0.192825108767,4547.6923828125,21.2380943298,8.9309997559,52.9147987366,612.799987793,618.700012207
987,47,71.7130966187,98.6055984497,56,616.299987793,0.0567375868559,5447.3452148438,21,7.3850002289,54.6099319458,616.5999755859,616
103,5,22.4298992157,98.1307983398,25,616.299987793,0.242718443274,6567.1494140625,20.6000003815,5.3350000381,42.7184448242,612.799987793,619.799987793
487,24.3400001526,24.6093997955,77.148399353,0,616.299987793,0,4818.6127929688,20.0082168579,8.2790002823,20.5338802338,610,622.5999755859
649,36,14.6379003525,76.2712020874,31,616.450012207,0.0477657951415,5621.4560546875,18.0277786255,9.6300001144,80.123260498,611.9000244141,621
852,42.0699996948,24.2141990662,94.2957000732,80,617.3499755859,0.0938967168331,6026.3598632812,20.2519607544,7.4539999962,49.413143158,614.799987793,619.9000244141
491,28.9200000763,11.2016000748,97.7596969604,100,618.0500488281,0.203665986657,6723.2377929688,16.9778690338,6.2160000801,85.5397186279,611.700012207,624.4000244141
421,25.5,8.55109977722,77.9096984863,50,618.3000488281,0.118764847517,5589.8852539062,16.509803772,7.763999939,58.9073638916,614.9000244141,621.700012207
6880,303.0299987793,21.2824001312,94.9711990356,960,619.799987793,0.139534890652,5064.6157226562,22.7040233612,7.021999836,77.0058135986,619.0999755859,620.5
2688,135,23.4375,93.2292022705,139,620.299987793,0.0517113097012,5433.5932617188,19.9111118317,5.6989998817,49.8139877319,621.299987793,619.299987793
440,24,34.7727012634,100,69,620.5,0.156818181276,5725.5634765625,18.3333339691,7.9409999847,40.6818199158,615.5999755859,625.4000244141
