DATE,FEDFUNDS_PCH
1994-01-01,3.04054
1994-02-01,6.55738
1994-03-01,2.76923
1994-04-01,6.58683
1994-05-01,12.64045
1994-06-01,5.98504
1994-07-01,0.23529
1994-08-01,4.92958
1994-09-01,5.81655
1994-10-01,0.63425
1994-11-01,11.13445
1994-12-01,3.02457
1995-01-01,1.46789
1995-02-01,7.05244
1995-03-01,1.01351
1995-04-01,1.17057
1995-05-01,-0.66116
1995-06-01,-0.16639
1995-07-01,-2.50000
1995-08-01,-1.88034
1995-09-01,1.04530
1995-10-01,-0.68966
1995-11-01,0.69444
1995-12-01,-3.44828
1996-01-01,-0.71429
1996-02-01,-6.11511
1996-03-01,1.72414
1996-04-01,-1.69492
1996-05-01,0.38314
1996-06-01,0.57252
1996-07-01,2.46679
1996-08-01,-3.33333
1996-09-01,1.53257
1996-10-01,-1.13208
1996-11-01,1.33588
1996-12-01,-0.37665
1997-01-01,-0.75614
1997-02-01,-1.14286
1997-03-01,3.85356
1997-04-01,2.22635
1997-05-01,-0.18149
1997-06-01,1.09091
1997-07-01,-0.71942
1997-08-01,0.36232
1997-09-01,0.00000
1997-10-01,-0.72202
1997-11-01,0.36364
1997-12-01,-0.36232
1998-01-01,1.09091
1998-02-01,-0.89928
1998-03-01,-0.36298
1998-04-01,-0.72860
1998-05-01,0.73394
1998-06-01,1.27505
1998-07-01,-0.35971
1998-08-01,0.18051
1998-09-01,-0.72072
1998-10-01,-7.98548
1998-11-01,-4.73373
1998-12-01,-3.10559
1999-01-01,-1.06838
1999-02-01,2.80778
1999-03-01,1.05042
1999-04-01,-1.45530
1999-05-01,0.00000
1999-06-01,0.42194
1999-07-01,4.83193
1999-08-01,1.60321
1999-09-01,2.95858
1999-10-01,-0.38314
1999-11-01,4.23077
1999-12-01,-2.21402
2000-01-01,2.83019
2000-02-01,5.13761
2000-03-01,2.09424
2000-04-01,2.90598
2000-05-01,4.15282
2000-06-01,4.14673
2000-07-01,0.15314
2000-08-01,-0.61162
2000-09-01,0.30769
2000-10-01,-0.15337
2000-11-01,0.00000
2000-12-01,-1.68971
2001-01-01,-6.56250
