DATE,CUSR0000SAH21_NBD20240201_CUSR0000SETB_NBD20240201,PCU21212121_NBD20240201,PCU2111112111111_NBD20240201,PCU2111112111113_NBD20240201,PCU324110324110121_NBD20240201,WPU057303_NBD20240201
1994-01-01,73.20429,32.13275,18.25090,101.76011,21.72929,13.28141
1994-02-01,74.16669,31.68741,17.56862,91.26938,23.04965,14.62506
1994-03-01,74.26310,31.72167,18.42147,98.03007,22.86102,14.70258
1994-04-01,73.85679,31.85870,19.82866,94.99942,24.33228,14.10827
1994-05-01,73.21979,31.92721,22.72834,86.95652,24.82270,14.15995
1994-06-01,73.40573,31.51613,24.56196,86.14058,25.80353,14.00491
1994-07-01,74.39738,31.55039,26.09708,80.89521,27.27478,14.57338
1994-08-01,75.94512,31.75593,25.28688,84.27556,29.87777,14.83177
1994-09-01,75.55947,32.30403,22.42984,81.36146,27.35023,14.90929
1994-10-01,75.21171,32.54383,22.89891,76.11610,25.23766,15.09017
1994-11-01,75.51643,32.50957,22.77098,74.13451,26.21850,15.37440
1994-12-01,75.40797,31.51613,21.87549,80.54552,23.54006,14.00491
1995-01-01,75.23753,30.28289,22.47249,79.72957,24.21910,13.95324
1995-02-01,75.30812,31.27633,23.66647,73.31857,24.52090,13.72068
1995-03-01,75.11186,32.09849,23.49590,71.45355,24.89814,14.21163
1995-04-01,75.17211,31.72167,25.71330,72.61919,27.57658,15.03849
1995-05-01,75.30984,30.96802,26.01179,73.66826,29.38735,15.34856
1995-06-01,75.97955,31.07079,24.77517,75.53328,28.93466,14.67674
1995-07-01,75.29263,31.68741,22.42984,73.66826,26.74664,13.87572
1995-08-01,75.18072,31.44762,22.77098,65.27567,26.25622,14.47002
1995-09-01,74.08920,31.41336,23.83704,66.55787,26.14305,15.11601
1995-10-01,74.33196,31.85870,22.42984,69.58853,24.59635,15.19352
1995-11-01,73.66224,31.31059,22.72834,73.43513,23.23827,15.42608
1995-12-01,74.37500,31.27633,24.22082,80.31239,24.37000,15.55527
1996-01-01,76.10524,30.79674,26.01179,91.38594,26.29395,16.07206
1996-02-01,76.29979,31.48187,24.51931,105.72328,25.42629,15.34856
1996-03-01,77.07452,31.58464,26.77936,93.95034,28.02927,16.17542
1996-04-01,79.18008,31.20782,30.61716,101.64355,31.65082,19.48285
1996-05-01,79.68624,31.89295,28.31448,96.39818,33.34842,19.25030
1996-06-01,78.53446,31.41336,26.82200,86.37370,31.42448,16.76972
1996-07-01,78.36747,31.00228,27.80277,95.58224,30.59454,17.07979
1996-08-01,78.06620,31.72167,28.78354,96.63131,30.29274,17.20899
1996-09-01,78.17466,31.13931,31.21415,83.92587,30.40592,19.30198
1996-10-01,78.66360,31.00228,33.43155,82.41054,30.66999,20.72314
1996-11-01,79.61566,31.27633,31.81115,110.26926,31.68855,19.89628
1996-12-01,81.05151,31.07079,32.91985,154.09721,31.27358,19.63789
1997-01-01,82.02252,31.82444,34.11383,174.72899,31.68855,18.91439
1997-02-01,81.82108,31.27633,29.97753,131.25073,30.97178,18.88855
1997-03-01,80.47304,31.79018,26.13972,86.02401,30.21729,17.18315
1997-04-01,79.05269,32.54383,26.05444,82.76023,29.80232,17.07979
1997-05-01,77.46363,31.41336,27.93070,91.61907,29.80232,16.43381
1997-06-01,78.32789,31.72167,24.05025,97.21413,29.16101,15.76199
1997-07-01,77.65818,31.34485,25.50009,93.95034,28.48197,14.90929
1997-08-01,78.93045,31.37910,25.50009,95.34911,30.36819,16.04622
1997-09-01,79.99098,31.48187,24.77517,106.07297,30.93406,15.83951
1997-10-01,79.61395,31.27633,26.60879,126.82131,28.89694,16.71804
1997-11-01,79.34366,31.17356,26.18236,139.41019,27.76520,17.00228
1997-12-01,78.17810,31.92721,23.62383,111.08521,26.48257,15.21936
1998-01-01,76.50124,30.21438,20.16980,99.54540,24.14365,13.92740
1998-02-01,74.78305,30.89951,20.04187,89.63749,22.74785,13.25557
1998-03-01,73.52282,30.72823,16.63049,94.64973,21.01252,12.29952
1998-04-01,72.88410,31.07079,17.73919,98.72946,21.95564,12.91966
1998-05-01,73.47806,30.89951,17.78183,99.07915,23.95503,12.91966
1998-06-01,73.70875,30.89951,15.56443,89.63749,23.50234,11.83441
1998-07-01,73.56241,30.79674,16.67313,97.56382,22.97420,11.55018
1998-08-01,72.69127,30.00884,14.11460,89.87061,20.89935,11.47266
1998-09-01,72.11623,29.90607,16.71578,76.46579,20.71073,12.42872
1998-10-01,72.26429,30.41992,16.37464,84.97494,21.35204,12.22200
1998-11-01,71.94752,30.69397,15.18065,91.03625,20.06941,11.91193
1998-12-01,71.21754,31.31059,12.11041,91.26938,17.12691,10.07734
1999-01-01,70.98341,29.28945,14.02931,81.82772,18.67361,10.38741
1999-02-01,70.57882,30.55694,12.15305,78.79706,17.73050,9.84478
1999-03-01,71.46202,30.59120,15.47915,73.43513,19.35265,11.16259
1999-04-01,75.12047,30.79674,19.65809,81.01177,26.18078,13.72068
1999-05-01,74.66252,30.07735,21.91814,100.12822,26.85982,13.69484
1999-06-01,74.40599,30.21438,22.68570,97.44725,25.99215,13.82404
