PCU324110324110C1,Year,Month,MonthYear,index_val
PCU324110324110C1,1994,M01,1994 Jan,66.7
PCU324110324110C1,1994,M02,1994 Feb,74.8
PCU324110324110C1,1994,M03,1994 Mar,71.2
PCU324110324110C1,1994,M04,1994 Apr,70.1
PCU324110324110C1,1994,M05,1994 May,70.3
PCU324110324110C1,1994,M06,1994 Jun,69.7
PCU324110324110C1,1994,M07,1994 Jul,72.6
PCU324110324110C1,1994,M08,1994 Aug,74.3
PCU324110324110C1,1994,M09,1994 Sep,74
PCU324110324110C1,1994,M10,1994 Oct,72.9
PCU324110324110C1,1994,M11,1994 Nov,74
PCU324110324110C1,1994,M12,1994 Dec,71
PCU324110324110C1,1995,M01,1995 Jan,72.2
PCU324110324110C1,1995,M02,1995 Feb,69.4
PCU324110324110C1,1995,M03,1995 Mar,69.2
PCU324110324110C1,1995,M04,1995 Apr,72.1
PCU324110324110C1,1995,M05,1995 May,76
PCU324110324110C1,1995,M06,1995 Jun,69.9
PCU324110324110C1,1995,M07,1995 Jul,68.2
PCU324110324110C1,1995,M08,1995 Aug,70.8
PCU324110324110C1,1995,M09,1995 Sep,74.5
PCU324110324110C1,1995,M10,1995 Oct,72.7
PCU324110324110C1,1995,M11,1995 Nov,76.4
PCU324110324110C1,1995,M12,1995 Dec,79.4
PCU324110324110C1,1996,M01,1996 Jan,82.4
PCU324110324110C1,1996,M02,1996 Feb,78.4
PCU324110324110C1,1996,M03,1996 Mar,84.5
PCU324110324110C1,1996,M04,1996 Apr,96.9
PCU324110324110C1,1996,M05,1996 May,89
PCU324110324110C1,1996,M06,1996 Jun,76.9
PCU324110324110C1,1996,M07,1996 Jul,80.2
PCU324110324110C1,1996,M08,1996 Aug,86.2
PCU324110324110C1,1996,M09,1996 Sep,93.3
PCU324110324110C1,1996,M10,1996 Oct,103.3
PCU324110324110C1,1996,M11,1996 Nov,98.8
PCU324110324110C1,1996,M12,1996 Dec,99.3
PCU324110324110C1,1997,M01,1997 Jan,97.2
PCU324110324110C1,1997,M02,1997 Feb,92.7
PCU324110324110C1,1997,M03,1997 Mar,82
PCU324110324110C1,1997,M04,1997 Apr,83.2
PCU324110324110C1,1997,M05,1997 May,84.8
PCU324110324110C1,1997,M06,1997 Jun,78.1
PCU324110324110C1,1997,M07,1997 Jul,75.3
PCU324110324110C1,1997,M08,1997 Aug,78.9
PCU324110324110C1,1997,M09,1997 Sep,77.1
PCU324110324110C1,1997,M10,1997 Oct,84.6
PCU324110324110C1,1997,M11,1997 Nov,85.2
PCU324110324110C1,1997,M12,1997 Dec,77.7
PCU324110324110C1,1998,M01,1998 Jan,70.6
PCU324110324110C1,1998,M02,1998 Feb,69.3
PCU324110324110C1,1998,M03,1998 Mar,63.7
PCU324110324110C1,1998,M04,1998 Apr,65.6
PCU324110324110C1,1998,M05,1998 May,64.8
PCU324110324110C1,1998,M06,1998 Jun,59.6
PCU324110324110C1,1998,M07,1998 Jul,58.3
PCU324110324110C1,1998,M08,1998 Aug,55.2
PCU324110324110C1,1998,M09,1998 Sep,61.6
PCU324110324110C1,1998,M10,1998 Oct,61.4
PCU324110324110C1,1998,M11,1998 Nov,59.3
PCU324110324110C1,1998,M12,1998 Dec,49.8
PCU324110324110C1,1999,M01,1999 Jan,54.6
PCU324110324110C1,1999,M02,1999 Feb,49.8
PCU324110324110C1,1999,M03,1999 Mar,54.9
PCU324110324110C1,1999,M04,1999 Apr,66.1
PCU324110324110C1,1999,M05,1999 May,66.9
PCU324110324110C1,1999,M06,1999 Jun,65.1
PCU324110324110C1,1999,M07,1999 Jul,74.6
PCU324110324110C1,1999,M08,1999 Aug,77
PCU324110324110C1,1999,M09,1999 Sep,86
PCU324110324110C1,1999,M10,1999 Oct,81.5
PCU324110324110C1,1999,M11,1999 Nov,91.5
PCU324110324110C1,1999,M12,1999 Dec,94.2
PCU324110324110C1,2000,M01,2000 Jan,96.4
PCU324110324110C1,2000,M02,2000 Feb,119.6
PCU324110324110C1,2000,M03,2000 Mar,116.4
PCU324110324110C1,2000,M04,2000 Apr,105.2
PCU324110324110C1,2000,M05,2000 May,108.1
PCU324110324110C1,2000,M06,2000 Jun,112.9
PCU324110324110C1,2000,M07,2000 Jul,113.8
PCU324110324110C1,2000,M08,2000 Aug,119.1
PCU324110324110C1,2000,M09,2000 Sep,142
PCU324110324110C1,2000,M10,2000 Oct,138.1
PCU324110324110C1,2000,M11,2000 Nov,136.8
PCU324110324110C1,2000,M12,2000 Dec,129
PCU324110324110C1,2001,M01,2001 Jan,123
PCU324110324110C1,2001,M02,2001 Feb,117.5
PCU324110324110C1,2001,M03,2001 Mar,107.2
PCU324110324110C1,2001,M04,2001 Apr,111.2
PCU324110324110C1,2001,M05,2001 May,123.1
PCU324110324110C1,2001,M06,2001 Jun,115.9
PCU324110324110C1,2001,M07,2001 Jul,104.7
PCU324110324110C1,2001,M08,2001 Aug,109.1
PCU324110324110C1,2001,M09,2001 Sep,121.8
