MSN,YYYYMM,Value,Column_Order,Description,Unit
RERCBUS,199401,48.031,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199402,43.966,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199403,49.651,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199404,48.716,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199405,50.726,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199406,49.339,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199407,51.084,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199408,51.017,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199409,49.019,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199410,49.95,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199411,47.563,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199412,48.786,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199501,48.115,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199502,44.051,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199503,49.761,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199504,48.832,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199505,50.852,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199506,49.464,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199507,51.215,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199508,51.147,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199509,49.14,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199510,50.064,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199511,47.661,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199512,48.882,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199601,49.751,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,199602,47.029,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
