r_id,hour,gen
3,2424,1.0
4,2424,1.0
5,2424,1.0
6,2424,1.0
7,2424,1.0
8,2424,1.0
9,2424,0.0
10,2424,0.0
11,2424,0.0
12,2424,0.0
13,2424,0.0
20,2424,0.0
21,2424,0.0
22,2424,0.0
23,2424,0.0
24,2424,0.0
25,2424,0.0
26,2424,0.0
27,2424,0.0
28,2424,0.0
29,2424,0.0
30,2424,0.0
34,2424,0.0
35,2424,0.0
36,2424,0.0
38,2424,0.0
3,2425,1.0
4,2425,1.0
5,2425,1.0
6,2425,1.0
7,2425,1.0
8,2425,1.0
9,2425,0.0
10,2425,0.0
11,2425,0.0
12,2425,0.0
13,2425,0.0
20,2425,0.0
21,2425,0.0
22,2425,0.0
23,2425,0.0
24,2425,0.0
25,2425,0.0
26,2425,0.0
27,2425,0.0
28,2425,0.0
29,2425,0.0
30,2425,0.0
34,2425,0.0
35,2425,0.0
36,2425,0.0
38,2425,0.0
3,2426,1.0
4,2426,1.0
5,2426,1.0
6,2426,1.0
7,2426,1.0
8,2426,1.0
9,2426,0.0
10,2426,0.0
11,2426,0.0
12,2426,0.0
13,2426,0.0
20,2426,0.0
21,2426,0.0
22,2426,0.0
23,2426,0.0
24,2426,0.0
25,2426,0.0
26,2426,0.0
27,2426,0.0
28,2426,0.0
29,2426,0.0
30,2426,0.0
34,2426,0.0
35,2426,0.0
36,2426,0.0
38,2426,0.0
3,2427,1.0
4,2427,1.0
5,2427,1.0
6,2427,1.0
7,2427,1.0
8,2427,1.0
9,2427,0.0
10,2427,0.0
11,2427,0.0
12,2427,0.0
13,2427,0.0
20,2427,0.0
21,2427,0.0
22,2427,0.0
23,2427,0.0
24,2427,0.0
25,2427,0.0
26,2427,0.0
27,2427,0.0
28,2427,0.0
29,2427,0.0
30,2427,0.0
34,2427,0.0
35,2427,0.0
36,2427,0.0
38,2427,0.0
3,2428,1.0
4,2428,1.0
5,2428,1.0
6,2428,1.0
7,2428,1.0
8,2428,1.0
9,2428,0.0
10,2428,0.0
11,2428,0.0
12,2428,0.0
13,2428,0.0
20,2428,0.0
21,2428,0.0
22,2428,0.0
23,2428,0.0
24,2428,0.0
25,2428,0.0
26,2428,0.0
27,2428,0.0
28,2428,0.0
29,2428,0.0
30,2428,0.0
34,2428,0.0
35,2428,0.0
36,2428,0.0
38,2428,0.0
3,2429,1.0
4,2429,1.0
5,2429,1.0
6,2429,1.0
7,2429,1.0
8,2429,1.0
9,2429,0.0
10,2429,0.0
11,2429,0.0
12,2429,0.0
13,2429,0.0
20,2429,0.0
21,2429,0.0
22,2429,0.0
23,2429,0.0
24,2429,0.0
25,2429,0.0
26,2429,0.0
27,2429,0.0
28,2429,0.0
29,2429,0.0
30,2429,0.0
34,2429,0.0
35,2429,0.0
36,2429,0.0
38,2429,0.0
3,2430,1.0
4,2430,1.0
5,2430,1.0
6,2430,1.0
7,2430,1.0
8,2430,1.0
