hour,gen_full,cf,r_id,existing_cap_mw,gen,curt
2424,wec_sdge_onshore_wind_turbine_1.0,0.6637,31,217.6,144.42111999999997,0.0
2424,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2424,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2425,wec_sdge_onshore_wind_turbine_1.0,0.4494,31,217.6,97.78944,0.0
2425,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2425,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2426,wec_sdge_onshore_wind_turbine_1.0,0.4788,31,217.6,104.18688,0.0
2426,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2426,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2427,wec_sdge_onshore_wind_turbine_1.0,0.5907,31,217.6,128.53632,0.0
2427,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2427,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2428,wec_sdge_onshore_wind_turbine_1.0,0.6463,31,217.6,140.63487999999998,0.0
2428,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2428,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2429,wec_sdge_onshore_wind_turbine_1.0,0.7048,31,217.6,153.36448,0.0
2429,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2429,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2430,wec_sdge_onshore_wind_turbine_1.0,0.5456,31,217.6,118.72255999999999,0.0
2430,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2430,wec_sdge_solar_photovoltaic_1.0,0.0,33,3500.0,0.0,0.0
2431,wec_sdge_onshore_wind_turbine_1.0,0.594,31,217.6,129.2544,0.0
2431,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2431,wec_sdge_solar_photovoltaic_1.0,0.2091,33,3500.0,731.85,0.0
2432,wec_sdge_onshore_wind_turbine_1.0,0.5366,31,217.6,116.76415999999999,0.0
2432,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
2432,wec_sdge_solar_photovoltaic_1.0,0.4369,33,3500.0,1529.15,0.0
2433,wec_sdge_onshore_wind_turbine_1.0,0.3695,31,217.6,80.4032,0.0
2433,wec_sdge_small_hydroelectric_1.0,0.4351,32,7.32,3.184932,0.0
