r_id,hour,gen
1,2496,21.4
2,2496,42.0
3,2496,607.1
4,2496,30.000000000000227
5,2496,49.4
6,2496,570.0
7,2496,269.548028
8,2496,0.0
9,2496,0.0
10,2496,0.0
11,2496,0.0
12,2496,0.0
13,2496,0.0
20,2496,0.0
21,2496,0.0
22,2496,0.0
23,2496,0.0
24,2496,0.0
25,2496,0.0
26,2496,0.0
27,2496,0.0
28,2496,0.0
29,2496,0.0
30,2496,0.0
31,2496,65.36704
32,2496,3.184932
33,2496,0.0
34,2496,0.0
35,2496,0.0
36,2496,0.0
37,2496,0.0
38,2496,0.0
39,2496,0.0
40,2496,0.0
41,2496,0.0
42,2496,0.0
1,2497,21.4
2,2497,41.99999999999999
3,2497,607.1
4,2497,30.0
5,2497,49.4
6,2497,570.0
7,2497,211.24370799999997
8,2497,0.0
9,2497,0.0
10,2497,0.0
11,2497,0.0
12,2497,0.0
13,2497,0.0
20,2497,0.0
21,2497,0.0
22,2497,0.0
23,2497,0.0
24,2497,0.0
25,2497,0.0
26,2497,0.0
27,2497,0.0
28,2497,0.0
29,2497,0.0
30,2497,0.0
31,2497,42.67136
32,2497,3.184932
33,2497,0.0
34,2497,0.0
35,2497,0.0
36,2497,0.0
37,2497,0.0
38,2497,0.0
39,2497,0.0
40,2497,0.0
41,2497,0.0
42,2497,0.0
1,2498,21.4
2,2498,42.0
3,2498,607.1
4,2498,16.5
5,2498,47.21090800000002
6,2498,570.0
7,2498,149.856
8,2498,0.0
9,2498,0.0
10,2498,0.0
11,2498,0.0
12,2498,0.0
13,2498,0.0
20,2498,0.0
21,2498,0.0
22,2498,0.0
23,2498,0.0
24,2498,0.0
25,2498,0.0
26,2498,0.0
27,2498,0.0
28,2498,0.0
29,2498,0.0
30,2498,0.0
31,2498,54.74816
32,2498,3.184932
33,2498,0.0
34,2498,0.0
35,2498,0.0
36,2498,0.0
37,2498,0.0
38,2498,0.0
39,2498,0.0
40,2498,0.0
41,2498,0.0
42,2498,0.0
1,2499,21.4
2,2499,42.0
3,2499,575.541788
4,2499,16.5
5,2499,24.7
6,2499,570.0
7,2499,149.856
8,2499,0.0
9,2499,0.0
10,2499,0.0
11,2499,0.0
12,2499,0.0
13,2499,0.0
20,2499,0.0
21,2499,0.0
22,2499,0.0
23,2499,0.0
24,2499,0.0
25,2499,0.0
26,2499,0.0
27,2499,0.0
28,2499,0.0
29,2499,0.0
30,2499,0.0
31,2499,58.81728
32,2499,3.184932
33,2499,0.0
34,2499,0.0
35,2499,0.0
36,2499,0.0
37,2499,0.0
38,2499,0.0
39,2499,0.0
40,2499,0.0
41,2499,0.0
42,2499,0.0
1,2500,21.4
2,2500,42.0
3,2500,607.1
4,2500,16.5
5,2500,28.01410800000008
6,2500,570.0
7,2500,149.856
8,2500,0.0
9,2500,0.0
10,2500,0.0
11,2500,0.0
12,2500,0.0
13,2500,0.0
20,2500,0.0
21,2500,0.0
22,2500,0.0
23,2500,0.0
24,2500,0.0
25,2500,0.0
26,2500,0.0
27,2500,0.0
28,2500,0.0
29,2500,0.0
30,2500,0.0
31,2500,55.944959999999995
32,2500,3.184932
33,2500,0.0
34,2500,0.0
35,2500,0.0
36,2500,0.0
37,2500,0.0
38,2500,0.0
39,2500,0.0
40,2500,0.0
41,2500,0.0
42,2500,0.0
1,2501,21.4
2,2501,41.99999999999999
3,2501,607.1
4,2501,30.0
5,2501,49.4
6,2501,570.0
7,2501,213.730748
8,2501,0.0
9,2501,0.0
10,2501,0.0
11,2501,0.0
12,2501,0.0
13,2501,0.0
20,2501,0.0
21,2501,0.0
22,2501,0.0
23,2501,0.0
24,2501,0.0
25,2501,0.0
26,2501,0.0
27,2501,0.0
28,2501,0.0
29,2501,0.0
30,2501,0.0
31,2501,56.18431999999999
32,2501,3.184932
33,2501,0.0
34,2501,0.0
35,2501,0.0
36,2501,0.0
37,2501,0.0
38,2501,0.0
39,2501,0.0
40,2501,0.0
41,2501,0.0
42,2501,0.0
